Date,Car,Year,Price,Mileage,Location,URL
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$38,147","47,156 mi.","Grapevine, TX(804 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK3JM530412/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,590","19,066 mi.","Blue Mound, TX(823 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL7JM630294/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$37,995","29,089 mi.","San Jose, CA(1817 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK4JM530323/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$38,690","21,218 mi.","Thousand Oaks, CA(1751 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK7JM530767/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$42,975","23,602 mi.","Bountiful, UT(1233 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL5JM630665/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$36,890","50,077 mi.","Sarasota, FL(1065 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL0JM630850/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$37,883","29,741 mi.","San Antonio, TX(1052 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK5JM531044/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,N/A,"25,658 mi.","Silver Spring, MD(613 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL5JM631024/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,199","37,968 mi.","Mesa, AZ(1423 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK3JM530653/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$40,326","24,259 mi.","Marietta, GA(593 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL1JM630193/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$36,950","32,206 mi.","Franklin Square, NY(747 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL4JM630155/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$40,990","28,063 mi.","Maple Shade, NJ(692 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL1JM631327/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$37,998","36,710 mi.","The Woodlands, TX(913 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK5JM530105/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$35,995","23,884 mi.","Conyers, GA(621 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL8JM630501/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$40,000","27,299 mi.","Sarasota, FL(1065 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK7JM530154/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$34,199","38,580 mi.","Raleigh, NC(662 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7ELXHM700865/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$34,999","54,805 mi.","Clarksville, MD(612 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL2HM701539/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$32,500","58,250 mi.","Spring, TX(927 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL7HM700807/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$29,490","64,140 mi.","Deer Park, NY(764 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL1HM700219/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$34,850","56,108 mi.","Fort Worth, TX(823 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK1HM610771/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$33,981","21,997 mi.","Avenel, NJ(718 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL8HM700430/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$26,444","82,566 mi.","Tucson, AZ(1428 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK8HM610993/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$27,998","86,605 mi.","Kennesaw, GA(587 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK6HM610894/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$34,829","46,232 mi.","Fort Worth, TX(823 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK2HM610472/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$27,990","53,287 mi.","Plano, TX(787 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK7HM611035/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$28,981","34,444 mi.","Avenel, NJ(718 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK1HM611239/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,895","18,147 mi.","Maple Shade, NJ(692 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL9JM631270/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$34,699","39,880 mi.","Redwood City, CA(1832 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK6HM611317/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$35,495","29,496 mi.","Exton, PA(658 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL6HM700961/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$33,998","60,038 mi.","Salt Lake City, UT(1239 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL6HM701835/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$38,999","26,520 mi.","Orlando, FL(1009 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK2JM530403/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,991","19,987 mi.","Winston-Salem, NC(586 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL4JM630799/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$31,995","48,453 mi.","Valencia, CA(1731 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK4JM530614/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,178","62,758 mi.","Chamblee, GA(600 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK2JM530515/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$36,889","36,328 mi.","Daytona Beach, FL(972 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL4JM630866/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$42,988","28,749 mi.","Duluth, GA(596 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL9JM630796/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$40,838","10,799 mi.","Grapevine, TX(804 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK1JM531073/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$36,777","10,207 mi.","Tempe, AZ(1431 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EKXJM530262/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$37,573","35,927 mi.","Phoenix, AZ(1438 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK9JM530348/?referrer_id=autotempest
04/04/21,Infiniti Q60 Red Sport 400,2019,"$46,607","8,686 mi.","Fort Wright, KY(277 mi. from 60004)",http://details.vast.com/details/cars/ob-980c9cce91c3807e4ce3309b9549d11b960be68518c695070ce86dc4ca2c7076d44e995510de6d517ce761ef48f0ff406bf26f82a637df6dbf6160746a741de209d054b8a497dc695599f3c37709a79b82a3f75d972fbb4dca7dab30c8bc0c62728adc080aa6ed0df3fa2b58cf84c8f432fbc8f17f0542595ccb550fab93f2dc4710cb293adb55e6f92c54b12e1697dc0a3517aa94151fc410aab6b03c027c5b670c7307701726c22d73f591714370bb/?pl=0
